film_name,year,song_name,singer(s),music_director,lyricist,duration
Shivankit Singh Parihar,2023,Aspirants Theme (Extended),Instrumental,Tushar Mallek,—,2:53
Ghoomer,2023,Ghoomer,"Dipakshi Kalita, Altamash Faridi",Amit Trivedi,Kausar Munir,3:46
Ghoomer,2023,Dil Dum Chhalla,Varun Jain,Amit Trivedi,Kausar Munir,3:45
Ghoomer,2023,Taqdeer Se Taqraa,Mika Singh,Amit Trivedi,Swanand Kirkire,4:00
Ghoomer,2023,Purnaviram,"Amit Trivedi , Rupali Moghe",Amit Trivedi,Swanand Kirkire,4:12
Dream Girl 2,2023,Dil Ka Telephone 2.0,"Meet Bros, Jonita Gandhi , Jubin Nautiyal",Meet Bros,Kumaar,5:09
Dream Girl 2,2023,Naach,Nakash Aziz,Tanishk Bagchi,Shaan Yadav,2:54
Dream Girl 2,2023,Jamnapaar,"Meet Bros, Neha Kakkar , Maanuni Desai, Samaaira Chandhoke",Meet Bros,"Kumaar, Jonita Gandhi",3:35
Dream Girl 2,2023,Mai Marjawangi,"Meet Bros, Sunidhi Chauhan , Danish Sabri",Meet Bros,Rashmi Virag,4:28
Dream Girl 2,2023,Piya,Jubin Nautiyal,Arko,Arko,3:19
Akelli,2023,Tu Akelli Hi Kafi Hai,"Daler Mehndi , Piyush Kapoor, Himanshu Choudhary, Kinjal Chaterjee, Devashri Manohar",Aman Pant,Manoj Tapadia,3:35
Akelli,2023,O Mahey,"Gurshabad, Chayanika Gargg",Gurshabad,Gurshabad,2:41
Akelli,2023,Umeedon Ki Titliyan,Sunidhi Chauhan,Hitesh Sonik,Raj Shekhar,2:11
Akelli,2023,Mera Apana Aasma,Romy,Mehul Vyas,Mukund Bhalerao,4:13
Friday Night Plan,2023,Bahaane,Rahul Pais,Dhruv Visvanath,Siddhant Kaushal,3:01
Friday Night Plan,2023,Pandora Ka Dabba,Piyush Kapoor,Skrat,Piyush Kapoor,1:59
Friday Night Plan,2023,Mazey Mein,When Chai Met Toast,When Chai Met Toast,Siddhant Kaushal,2:27
Friday Night Plan,2023,9 : 00,,"Songs:, Dhruv Vishvanath, Skrat, When Chai Met Toast, Background Score:, Rahul Pais, Nariman Khambata, (The Jamroom)",,
Haddi,2023,Kaun Hai Tu,"Devashri Manohar, Rohan Rohan",Rohan-Rohan,,3:05
Haddi,2023,Beparda (Alap written by Saad Khan),"Rekha Bhardwaj , Rohan Pradhan, Rohan-Rohan",Rohan-Rohan,,5:31
Haddi,2023,Bas Aaj Ki Raat,"Wrisha Dutta, Rohan-Rohan",Rohan-Rohan,,2:26
Haddi,2023,Alibaba,"Varun Likhate, Rohan Gokhale, Rohan-Rohan",Rohan-Rohan,,2:10
Haddi,2023,Zaalim Ne Maar Dala,"Rohan Pradhan, Rohan-Rohan",Rohan-Rohan,,3:24
Haddi,2023,Mastani Shama,"Prajakta Shukre , Rohan Pradhan, Rohan-Rohan",Rohan-Rohan,,3:14
